symbol,timestamp,trend,entry_price,ml_p_win,accepted
ETHUSDT,1754356500000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754357400000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754358300000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754359200000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754360100000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754361000000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754361900000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754362800000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754363700000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754364600000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754365500000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754366400000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754367300000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754368200000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754369100000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754370000000,uptrend,3703.4256800000003,0.0,False
ETHUSDT,1754379000000,downtrend,3654.70829,0.0,False
ETHUSDT,1754379900000,downtrend,3654.70829,0.0,False
ETHUSDT,1754380800000,downtrend,3654.70829,0.0,False
ETHUSDT,1754381700000,downtrend,3654.70829,0.0,False
ETHUSDT,1754382600000,downtrend,3654.70829,0.0,False
ETHUSDT,1754383500000,downtrend,3635.99856,0.0,False
XRPUSDT,1754215200000,uptrend,2.8651961000000004,0.0,False
XRPUSDT,1754216100000,uptrend,2.8651961000000004,0.0,False
XRPUSDT,1754217000000,uptrend,2.8651961000000004,0.0,False
XRPUSDT,1754217900000,uptrend,2.8651961000000004,0.0,False
XRPUSDT,1754218800000,uptrend,2.8651961000000004,0.0,False
XRPUSDT,1754219700000,uptrend,2.8651961000000004,0.0,False
XRPUSDT,1754220600000,uptrend,2.8651961000000004,0.0,False
XRPUSDT,1754221500000,uptrend,2.8651961000000004,0.0,False
XRPUSDT,1754222400000,uptrend,2.8651961000000004,0.0,False
XRPUSDT,1754223300000,uptrend,2.8744196000000004,0.0,False
XRPUSDT,1754244900000,uptrend,2.8990418,0.0,False
XRPUSDT,1754245800000,uptrend,2.8990418,0.0,False
XRPUSDT,1754246700000,uptrend,2.8990418,0.0,False
XRPUSDT,1754247600000,uptrend,2.8990418,0.0,False
XRPUSDT,1754248500000,uptrend,2.8990418,0.0,False
XRPUSDT,1754249400000,uptrend,2.8990418,0.0,False
XRPUSDT,1754250300000,uptrend,2.9145209,0.0,False
XRPUSDT,1754251200000,uptrend,2.9145209,0.0,False
XRPUSDT,1754252100000,uptrend,2.9145209,0.0,False
XRPUSDT,1754253000000,uptrend,2.9145209,0.0,False
XRPUSDT,1754273700000,uptrend,2.9740023000000004,0.0,False
XRPUSDT,1754274600000,uptrend,2.9740023000000004,0.0,False
XRPUSDT,1754275500000,uptrend,2.9740023000000004,0.0,False
XRPUSDT,1754276400000,uptrend,2.9740023000000004,0.0,False
XRPUSDT,1754277300000,uptrend,3.010032,0.0,False
XRPUSDT,1754289900000,downtrend,2.9882823,0.0,False
XRPUSDT,1754290800000,downtrend,2.9882823,0.0,False
XRPUSDT,1754291700000,downtrend,2.9882823,0.0,False
XRPUSDT,1754292600000,downtrend,2.9882823,0.0,False
XRPUSDT,1754293500000,downtrend,2.9882823,0.0,False
XRPUSDT,1754294400000,downtrend,2.9882823,0.0,False
XRPUSDT,1754295300000,downtrend,2.9882823,0.0,False
XRPUSDT,1754296200000,downtrend,2.9882823,0.0,False
XRPUSDT,1754297100000,downtrend,2.9882823,0.0,False
XRPUSDT,1754298000000,downtrend,2.9882823,0.0,False
XRPUSDT,1754298900000,downtrend,2.9882823,0.0,False
XRPUSDT,1754310600000,uptrend,3.0031966,0.0,False
XRPUSDT,1754311500000,uptrend,3.0031966,0.0,False
XRPUSDT,1754312400000,uptrend,3.0031966,0.0,False
XRPUSDT,1754313300000,uptrend,3.0031966,0.0,False
XRPUSDT,1754314200000,uptrend,3.0031966,0.0,False
XRPUSDT,1754315100000,uptrend,3.0031966,0.0,False
XRPUSDT,1754316000000,uptrend,3.0031966,0.0,False
XRPUSDT,1754316900000,uptrend,3.0031966,0.0,False
XRPUSDT,1754317800000,uptrend,3.0031966,0.0,False
XRPUSDT,1754318700000,uptrend,3.0031966,0.0,False
XRPUSDT,1754319600000,uptrend,3.0031966,0.0,False
XRPUSDT,1754320500000,uptrend,3.0351714000000003,0.0,False
XRPUSDT,1754321400000,uptrend,3.0351714000000003,0.0,False
XRPUSDT,1754322300000,uptrend,3.0351714000000003,0.0,False
